City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Gat,IL,69.91,few clouds,31.61,34.7642,OlusHome
344,Port Keats,AU,85.51,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
345,Port Hueneme,US,68.65,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
346,Amga,RU,80.06,few clouds,60.8953,131.9608,Algys
350,Hovd,MN,80.73,scattered clouds,48.0056,91.6419,Hotel Khovd
354,Chumphon,TH,89.71,broken clouds,10.3333,98.8333,สกาน จ๋า.
355,Mackay,AU,78.67,scattered clouds,-21.15,149.2,International Lodge Motel
356,Sioux Lookout,CA,71.98,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
358,Mirnyy,RU,83.16,broken clouds,62.5353,113.9611,квартира
361,Maragogi,BR,73.94,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
362,Lumberton,US,74.34,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
363,Lorengau,PG,82.54,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
364,Brownsville,US,75.9,overcast clouds,25.9018,-97.4975,University Inn & Suites
367,Banda Aceh,ID,85.14,overcast clouds,5.5577,95.3222,Sulthan Hotel International
368,Weinan,CN,83.89,clear sky,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
369,Jiayuguan,CN,85.26,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
371,Sturgis,US,69.84,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
373,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
374,Menomonie,US,73.42,broken clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
375,Chulman,RU,69.58,scattered clouds,56.8479,124.9104,Gostinitsa
376,Sao Filipe,CV,72.81,few clouds,14.8961,-24.4956,Hotel Xaguate
377,Massaguet,TD,89.64,broken clouds,12.4755,15.4365,Alwatane
