City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Rocha,UY,2021-06-01 21:33:51,-34.4833,-54.3333,61.16,58,100,12.53
127,Maraa,BR,2021-06-01 21:33:51,-1.8333,-65.3667,76.08,95,60,3.65
128,Labuhan,ID,2021-06-01 21:33:52,-6.8844,112.2051,77.59,88,44,6.62
129,Aksu,CN,2021-06-01 21:33:52,41.1231,80.2644,73.44,33,63,3.18
130,Horqueta,PY,2021-06-01 21:33:52,-23.3428,-57.0597,74.39,60,2,3.69
131,Ribeira Grande,PT,2021-06-01 21:33:53,38.5167,-28.7,60.4,60,54,14.5
132,Culleredo,ES,2021-06-01 21:33:53,43.2879,-8.3886,59.85,81,32,4.0
133,Tchibanga,GA,2021-06-01 21:33:54,-2.85,11.0333,72.09,90,100,2.37
134,Hithadhoo,MV,2021-06-01 21:33:54,-0.6,73.0833,83.61,66,100,15.97
135,Cidreira,BR,2021-06-01 21:33:54,-30.1811,-50.2056,59.58,71,33,8.84
136,Vytegra,RU,2021-06-01 21:33:55,61.0064,36.4481,45.28,86,22,2.37
137,Saraland,US,2021-06-01 21:32:49,30.8207,-88.0706,88.12,70,72,10.31
138,Waingapu,ID,2021-06-01 21:33:56,-9.6567,120.2641,74.08,84,100,4.14
139,Fort Saint James,CA,2021-06-01 21:33:56,54.4333,-124.25,68.59,59,92,1.3
140,Saint-Jovite,CA,2021-06-01 21:33:56,46.1186,-74.5966,73.62,40,82,5.75
141,Butte,US,2021-06-01 21:33:57,39.6499,-121.5677,103.62,16,39,7.87
142,Lavrentiya,RU,2021-06-01 21:33:57,65.5833,-171.0,33.53,70,45,20.85
143,Severo-Kurilsk,RU,2021-06-01 21:33:58,50.6789,156.125,40.86,87,99,6.6
144,College,US,2021-06-01 21:33:58,64.8569,-147.8028,64.35,62,75,3.44
145,Kamaishi,JP,2021-06-01 21:33:58,39.2667,141.8833,61.59,85,100,7.65
146,Saint-Joseph,RE,2021-06-01 21:33:59,-21.3667,55.6167,73.78,85,61,14.03
147,Gari,RU,2021-06-01 21:33:59,59.4307,62.3497,42.15,70,21,5.1
148,Clyde River,CA,2021-06-01 21:34:00,70.4692,-68.5914,26.83,93,90,6.91
149,Gayny,RU,2021-06-01 21:34:00,60.3071,54.3241,38.16,97,81,4.41
150,Sibolga,ID,2021-06-01 21:34:01,1.7427,98.7792,77.22,84,83,3.31
151,Georgetown,MY,2021-06-01 21:34:02,5.4112,100.3354,80.89,92,20,3.0
152,Sorland,NO,2021-06-01 21:34:02,67.667,12.6934,50.31,79,1,9.84
153,Salym,RU,2021-06-01 21:34:03,60.0625,71.4789,42.24,73,42,5.68
154,Muli,MV,2021-06-01 21:34:03,2.9167,73.5667,84.2,63,88,15.32
155,Stara Synyava,UA,2021-06-01 21:34:04,49.6032,27.6191,46.06,88,99,8.41
156,Berlevag,NO,2021-06-01 21:34:04,70.8578,29.0864,44.55,87,75,13.8
157,Chuy,UY,2021-06-01 21:34:04,-33.6971,-53.4616,58.98,69,93,6.38
158,San Patricio,US,2021-06-01 21:34:05,28.017,-97.5169,84.09,56,76,12.62
159,Provideniya,RU,2021-06-01 21:34:05,64.3833,-173.3,39.31,60,0,15.66
160,The Pas,CA,2021-06-01 21:34:05,53.8251,-101.2541,68.02,45,1,0.92
161,Sao Joao Da Barra,BR,2021-06-01 21:34:06,-21.6403,-41.0511,73.49,84,100,10.22
162,Mango,US,2021-06-01 21:34:07,27.9797,-82.3065,93.27,48,75,6.91
163,Ambon,ID,2021-06-01 21:34:07,-3.6954,128.1814,80.49,82,57,9.64
164,Sidney,AU,2021-06-01 21:29:13,-33.8679,151.2073,51.1,86,0,4.0
165,Mount Gambier,AU,2021-06-01 21:31:30,-37.8333,140.7667,46.31,81,90,8.05
166,Hilo,US,2021-06-01 21:29:39,19.7297,-155.09,82.8,70,1,9.22
167,Koygorodok,RU,2021-06-01 21:34:08,60.445,50.9968,43.16,93,70,4.16
168,Katsuura,JP,2021-06-01 21:34:08,35.1333,140.3,71.11,76,100,7.61
169,Saint-Philippe,RE,2021-06-01 21:34:09,-21.3585,55.7679,74.79,87,75,12.93
