City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Goure,NE,13.9835,10.2704,84.7,18,38,6.51,scattered clouds
223,Cidreira,BR,-30.1811,-50.2056,59.86,91,3,12.95,clear sky
224,Doha,QA,25.2867,51.5333,98.58,36,0,12.66,clear sky
225,Rosarito,MX,32.3333,-117.0333,63.57,81,24,2.46,few clouds
226,Visnes,NO,59.3556,5.2242,64.78,67,0,9.22,clear sky
227,San Juan,AR,-31.5375,-68.5364,74.73,39,100,1.16,overcast clouds
228,Nazare,BR,-13.035,-39.0144,67.44,98,42,3.29,scattered clouds
229,Lasa,IT,46.6166,10.7002,59.88,90,33,2.01,scattered clouds
230,Hun,LY,29.1268,15.9477,77.92,38,53,3.27,broken clouds
231,Mana,GF,5.6592,-53.7767,76.48,91,99,6.51,overcast clouds
232,Leningradskiy,RU,69.3833,178.4167,31.82,86,27,8.61,scattered clouds
233,Aksarka,RU,66.5606,67.7975,52.45,41,90,16.31,overcast clouds
234,Pittsburg,US,38.028,-121.8847,73.36,40,1,8.97,clear sky
235,Sorland,NO,67.667,12.6934,57.27,80,4,8.01,clear sky
236,Marawi,PH,7.9986,124.2928,83.89,56,84,6.11,broken clouds
237,Victoria,HK,22.2855,114.1577,87.04,89,95,5.99,light rain
238,Toora-Khem,RU,52.4675,96.11,81.7,28,70,1.54,broken clouds
239,Dunedin,NZ,-45.8742,170.5036,53.8,70,45,3.0,scattered clouds
240,Padang,ID,-0.9492,100.3543,84.88,72,100,6.08,overcast clouds
241,Genhe,CN,50.7833,121.5167,56.59,81,100,14.94,overcast clouds
242,Berkakit,RU,56.5807,124.7681,68.76,29,54,11.92,broken clouds
243,Lagoa,PT,39.05,-27.9833,61.57,73,84,16.67,broken clouds
244,Te Anau,NZ,-45.4167,167.7167,49.68,93,100,4.29,overcast clouds
245,Cabo San Lucas,MX,22.8909,-109.9124,82.81,56,0,10.51,clear sky
246,Coihaique,CL,-45.5752,-72.0662,40.95,87,90,3.44,overcast clouds
247,Parana,AR,-31.732,-60.5238,62.55,71,7,8.14,clear sky
248,Tagusao,PH,9.1924,117.8141,85.91,72,100,3.22,overcast clouds
249,Tasiilaq,GL,65.6145,-37.6368,44.76,71,100,7.99,overcast clouds
250,Kavieng,PG,-2.5744,150.7967,83.73,72,84,7.14,broken clouds
251,Luancheng,CN,37.8792,114.6517,93.36,8,1,17.16,clear sky
252,Abonnema,NG,4.7084,6.7931,77.29,90,81,4.5,moderate rain
253,Yulara,AU,-25.2406,130.9889,64.24,42,82,9.22,broken clouds
254,Sinnamary,GF,5.3833,-52.95,76.91,91,100,7.27,overcast clouds
255,Ostrovnoy,RU,68.0531,39.5131,64.58,52,91,12.84,overcast clouds
256,Kautokeino,NO,69.0125,23.0412,65.86,43,72,4.9,broken clouds
257,Richards Bay,ZA,-28.783,32.0377,59.61,77,96,16.02,light rain
258,Lamar,US,33.6668,-95.5836,71.26,87,1,2.01,clear sky
259,Kalmunai,LK,7.4167,81.8167,80.67,83,100,8.9,overcast clouds
260,Casino,AU,-28.8667,153.05,71.55,43,0,6.91,clear sky
261,Saint George,US,37.1041,-113.5841,93.79,15,1,1.01,clear sky
262,Syamzha,RU,60.0158,41.0614,61.16,50,19,4.9,few clouds
263,Nanortalik,GL,60.1432,-45.2371,34.88,89,35,11.32,scattered clouds
264,Talcahuano,CL,-36.7167,-73.1167,56.88,100,90,4.61,light intensity drizzle
265,Rupert,US,42.6191,-113.6772,78.24,46,1,2.44,clear sky
266,Merauke,ID,-8.4667,140.3333,81.05,69,38,16.22,scattered clouds
267,Ponta Do Sol,PT,32.6667,-17.1,63.23,54,26,6.62,scattered clouds
268,Kerrobert,CA,51.9168,-109.1348,77.05,66,38,18.14,scattered clouds
269,Fairbanks,US,64.8378,-147.7164,70.14,33,75,11.5,broken clouds
270,Camopi,GF,3.1655,-52.3158,72.05,100,97,1.07,overcast clouds
271,Kaili,ID,-3.4626,120.2147,80.17,65,93,4.7,overcast clouds
272,Klaksvik,FO,62.2266,-6.589,50.92,97,39,14.43,scattered clouds
273,Bama,NG,11.5221,13.6856,83.32,48,24,6.42,few clouds
274,Pacifica,US,37.6138,-122.4869,68.34,84,20,3.0,mist
275,Ghanzi,BW,-21.5667,21.7833,44.01,59,0,7.27,clear sky
276,Cockburn Town,TC,21.4612,-71.1419,79.65,79,14,21.18,few clouds
277,Shenjiamen,CN,29.9576,122.298,65.41,89,100,4.65,light rain
278,Ust-Maya,RU,60.4167,134.5333,74.59,27,28,6.71,scattered clouds
279,Camacari,BR,-12.6975,-38.3242,78.57,92,18,3.89,few clouds
280,Oistins,BB,13.0667,-59.5333,80.69,65,40,19.57,scattered clouds
281,Magadan,RU,59.5667,150.8,42.67,85,100,3.69,overcast clouds
282,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,19.08,scattered clouds
283,Kununurra,AU,-15.7667,128.7333,87.78,35,53,10.36,broken clouds
284,Eureka,US,40.8021,-124.1637,56.62,77,91,3.0,overcast clouds
285,Hambantota,LK,6.1241,81.1185,84.54,79,75,15.93,broken clouds
286,Ambilobe,MG,-13.2,49.05,76.3,67,56,2.82,broken clouds
287,Necochea,AR,-38.5473,-58.7368,59.04,77,88,19.55,overcast clouds
288,Raudeberg,NO,61.9875,5.1352,63.27,64,6,3.98,clear sky
289,Anadyr,RU,64.75,177.4833,37.9,69,0,10.11,clear sky
